"Key"	"Source string"	"Context"	"Translation"
"accessibility.downloading.complete"	"Download complete"	"Original Translation
zh_CN: 下载完成
zh_TW: 下載完成"	""
"accessibility.downloading.start"	"Download begun"	"Original Translation
zh_CN: 下载已开始
zh_TW: 下載已開始"	""
"accessibility.dropdown.listItem"	"List item"	"Original Translation
zh_CN: 列表项
zh_TW: 清單項目"	""
"accessibility.dropdown.tts.title"	"Dropdown"	"Original Translation
zh_CN: 下拉
zh_TW: 下拉式選單"	""
"accessibility.emotes.assigned"	"The %s emote assigned"	"Original Translation
zh_CN: 已指派 %s 表情
zh_TW: 已分配 %s 表情"	""
"accessibility.emotes.exitEmotesInstruction.gamepad"	"Press the %s to change emotes or %s to exit."	"Original Translation
zh_CN: 按下 %s 更改表情或按下 %s 退出。
zh_TW: 按下 %s 可更換表情動作，或按下 %s 可退出。"	""
"accessibility.emotes.exitEmotesInstruction.keyboard"	"Press %s to access the Change Emotes button or %s to exit."	"Original Translation
zh_CN: 按下 %s 访问更改表情按钮或按下 %s 退出。
zh_TW: 按下 %s 可開啟「更換表情動作」按鈕，或按下 %s 可退出。"	""
"accessibility.emotes.hovered"	"%s, emote button %d, %d of %d"	"Original Translation
zh_CN: %s，表情按钮 %d，%d 的 %d
zh_TW: %s、表情符號按鈕 %d、%d/%d"	""
"accessibility.emotes.instruction"	"Press %s, %s, %s, or %s, to play emotes."	"Original Translation
zh_CN: 按下 %s、%s、%s 或 %s 以播放表情。
zh_TW: 按下 %s、%s、%s 或 %s 來使用表情動作。"	""
"accessibility.emotes.playFailed"	"No emote assigned to this button."	"Original Translation
zh_CN: 此按钮没有指派表情。
zh_TW: 此按鈕尚未指定任何表情動作。"	""
"accessibility.emotes.playSuccess"	"Play emote"	"Original Translation
zh_CN: 播放表情
zh_TW: 播放表情"	""
"accessibility.emotes.unassigned"	"Unassigned"	"Original Translation
zh_CN: 未指派
zh_TW: 未分配"	""
"accessibility.enableTTS"	"Text To Speech enabled"	"Original Translation
zh_CN: 文本转语音已启用
zh_TW: 文字轉換語音已啟用"	""
"accessibility.fullprice"	"Full Price %s Minecoins"	"Original Translation
zh_CN: 全价 %s Minecoin
zh_TW: 原價 %s 錢幣"	""
"accessibility.game.playerView"	"Player view"	"Original Translation
zh_CN: 玩家视图
zh_TW: 玩家視野"	""
"accessibility.gamepad.bumper.left"	"Left Bumper"	"Original Translation
zh_CN: 左缓冲键
zh_TW: LB 鍵"	""
"accessibility.gamepad.bumper.right"	"Right Bumper"	"Original Translation
zh_CN: 右缓冲键
zh_TW: RB 鍵"	""
"accessibility.gamepad.button.systemLeft"	"View Button"	"Original Translation
zh_CN: “视图”按钮
zh_TW: 視圖按鈕"	""
"accessibility.gamepad.button.systemRight"	"Menu Button"	"Original Translation
zh_CN: “菜单”按钮
zh_TW: 選項按鈕"	""
"accessibility.gamepad.dpad.down"	"D-Pad Down"	"Original Translation
zh_CN: 方向键下
zh_TW: 下方向鍵"	""
"accessibility.gamepad.dpad.left"	"D-Pad Left"	"Original Translation
zh_CN: 方向键左
zh_TW: 左方向鍵"	""
"accessibility.gamepad.dpad.right"	"D-Pad Right"	"Original Translation
zh_CN: 方向键右
zh_TW: 右方向鍵"	""
"accessibility.gamepad.dpad.up"	"D-Pad Up"	"Original Translation
zh_CN: 方向键上
zh_TW: 上方向鍵"	""
"accessibility.gamepad.faceButton.down"	"Button A"	"Original Translation
zh_CN: A 按钮
zh_TW: A 按鈕"	""
"accessibility.gamepad.faceButton.left"	"Button X"	"Original Translation
zh_CN: 按钮 X
zh_TW: X 按鈕"	""
"accessibility.gamepad.faceButton.right"	"Button B"	"Original Translation
zh_CN: 按钮 B
zh_TW: B 按鈕"	""
"accessibility.gamepad.faceButton.up"	"Button Y"	"Original Translation
zh_CN: Y 按钮
zh_TW: Y 按鈕"	""
"accessibility.gamepad.stick.left"	"Left Stick"	"Original Translation
zh_CN: 左摇杆
zh_TW: 左搖桿"	""
"accessibility.gamepad.stick.left.tiltDown"	"Left Stick Tilt Back"	"Original Translation
zh_CN: 左摇杆向后倾斜
zh_TW: 左搖桿向後傾斜"	""
"accessibility.gamepad.stick.left.tiltLeft"	"Left Stick Tilt Left"	"Original Translation
zh_CN: 左摇杆向左倾斜
zh_TW: 左搖桿向左傾斜"	""
"accessibility.gamepad.stick.left.tiltRight"	"Left Stick Tilt Right"	"Original Translation
zh_CN: 左摇杆向右倾斜
zh_TW: 左搖桿向右傾斜"	""
"accessibility.gamepad.stick.left.tiltUp"	"Left Stick Tilt Forward"	"Original Translation
zh_CN: 左摇杆向前倾斜
zh_TW: 左搖桿向前傾斜"	""
"accessibility.gamepad.stick.right"	"Right Stick"	"Original Translation
zh_CN: 右摇杆
zh_TW: 右搖桿"	""
"accessibility.gamepad.trigger.left"	"Left Trigger"	"Original Translation
zh_CN: 左扳机
zh_TW: LT 鍵"	""
"accessibility.gamepad.trigger.right"	"Right Trigger"	"Original Translation
zh_CN: 右扳机键
zh_TW: RT 鍵"	""
"accessibility.gametip"	"Tip"	"Original Translation
zh_CN: 提示
zh_TW: 秘訣"	""
"accessibility.image.tts.title"	"Image"	"Original Translation
zh_CN: 图像
zh_TW: 圖像"	""
"accessibility.importing.Progress"	"Importing %s percent"	"Original Translation
zh_CN: 正在导入 %s%
zh_TW: 匯入中，百分之 %s"	""
"accessibility.importing.canceled"	"Import canceled"	"Original Translation
zh_CN: 导入已取消
zh_TW: 匯入已取消"	""
"accessibility.importing.complete"	"Import complete"	"Original Translation
zh_CN: 导入完成
zh_TW: 匯入完成"	""
"accessibility.importing.start"	"Import begun"	"Original Translation
zh_CN: 导入已开始
zh_TW: 匯入已開始"	""
"accessibility.index"	"%s of %s"	"Original Translation
zh_CN: 第 %s 个，共 %s 个
zh_TW: %s/%s"	""
"accessibility.key.gamepad"	"Controller %s"	"Original Translation
zh_CN: 控制器 %s
zh_TW: 控制器 %s"	""
"accessibility.key.mouseButton"	"Mouse Button %s"	"Original Translation
zh_CN: 鼠标按钮 %s
zh_TW: 滑鼠按鈕 %s"	""
"accessibility.keyboard.leftBracket"	"Left square bracket key"	"Original Translation
zh_CN: 左方括号键
zh_TW: 左方括號鍵"	""
"accessibility.keyboard.rightBracket"	"Right square bracket key"	"Original Translation
zh_CN: 右方括号键
zh_TW: 右方括號鍵"	""
"accessibility.list.or.three_or_more.first"	"%s"	"Original Translation
zh_CN: %s
zh_TW: %s"	""
"accessibility.list.or.three_or_more.inner"	", %s"	"Original Translation
zh_CN: ，%s
zh_TW: ，%s"	""
"accessibility.list.or.three_or_more.last"	", or %s"	"Original Translation
zh_CN: ，或 %s
zh_TW: ，或 %s"	""
"accessibility.list.or.two"	"%s or %s"	"Original Translation
zh_CN: %s或%s
zh_TW: %s或%s"	""
"accessibility.loading.done"	"Done"	"Original Translation
zh_CN: 完成
zh_TW: 完成"	""
"accessibility.minecoin"	"Minecoin"	"Original Translation
zh_CN: Minecoin
zh_TW: Minecoin"	""
"accessibility.minecoins"	"Minecoins"	"Original Translation
zh_CN: Minecoin
zh_TW: Minecoin"	""
"accessibility.pause.permissions"	"Permissions"	"Original Translation
zh_CN: 许可
zh_TW: 權限"	""
"accessibility.pause.profile"	"Choose Profile"	"Original Translation
zh_CN: 选择个人资料
zh_TW: 選擇設定檔"	""
"accessibility.play.editRealm"	"Edit Realm"	"Original Translation
zh_CN: 编辑 Realm
zh_TW: 編輯 Realm"	""
"accessibility.play.editServer"	"Edit Server"	"Original Translation
zh_CN: 编辑服务器
zh_TW: 編輯伺服器"	""
"accessibility.play.editWorld"	"Edit World"	"Original Translation
zh_CN: 编辑世界
zh_TW: 編輯世界"	""
"accessibility.play.importWorld"	"Import World"	"Original Translation
zh_CN: 导入世界
zh_TW: 匯入世界"	""
"accessibility.play.leaveRealm"	"Leave Realm"	"Original Translation
zh_CN: 离开 Realm
zh_TW: 離開 Realm"	""
"accessibility.play.legacyWorldsDelete"	"Delete Legacy World"	"Original Translation
zh_CN: 删除旧的世界
zh_TW: 刪除舊版世界"	""
"accessibility.play.multipleNewPosts"	"%s new posts"	"Original Translation
zh_CN: %s 个新帖子
zh_TW: %s 則新貼文"	""
"accessibility.play.noNewPosts"	"No new posts"	"Original Translation
zh_CN: 没有新帖子
zh_TW: 沒有新貼文"	""
"accessibility.play.realmFeed"	"Realm Feed"	"Original Translation
zh_CN: Realm 内容
zh_TW: Realm 動態"	""
"accessibility.play.singleNewPost"	"1 new post"	"Original Translation
zh_CN: 1 个新帖子
zh_TW: 1 則新貼文"	""
"accessibility.play.tabLeft"	"Press the %s to tab left"	"Original Translation
zh_CN: 按下选项卡左边的 %s
zh_TW: 按 %s 以選取左標籤"	""
"accessibility.play.tabRight"	"Press the %s to tab right"	"Original Translation
zh_CN: 按下选项卡右边的 %s
zh_TW: 按 %s 以選取右標籤"	""
"accessibility.play.uploadWorld"	"Upload World"	"Original Translation
zh_CN: 上传世界
zh_TW: 上傳世界"	""
"accessibility.popup.joinRealm"	"Join Realm Screen"	"Original Translation
zh_CN: 加入 Realms 屏幕
zh_TW: 加入 Realm 畫面"	""
"accessibility.popup.left_button_text"	"Turn Off"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	""
"accessibility.popup.message.default"	"On your device, screen reader support is enabled by default."	"Original Translation
zh_CN: 你的设备上默认启用了屏幕阅读器支持。
zh_TW: 根據預設，螢幕閱讀器在您的裝置為已經啟用。"	""
"accessibility.popup.message.line1"	"Welcome to Minecraft!"	"Original Translation
zh_CN: 欢迎来到《我的世界》！
zh_TW: 歡迎來到《Minecraft》！"	""
"accessibility.popup.message.line3"	"Would you like to turn this off?"	"Original Translation
zh_CN: 您想将它关掉吗？
zh_TW: 您是否要將此關閉？"	""
"accessibility.popup.message.platform"	"We've detected that your system has a screen reader enabled and have automatically enabled Minecraft's screen reader."	"Original Translation
zh_CN: 我们发现您的系统启用了一个屏幕阅读器，并且自动启用了 Minecraft 的屏幕阅读器。
zh_TW: 我們已偵測到您的系統已啟用螢幕閱讀器，並已自動啟用 Minecraft 的螢幕閱讀器。"	""
"accessibility.popup.message.touch"	"Touch and drag to find controls on the screen, and double tap controls to select. To scroll on a screen, double tap and hold while swiping up or down."	"Original Translation
zh_CN: 触摸和拖动以在屏幕上找到控件，双击控件以进行选择。若要在屏幕上滚动，上下滑动时双击并按住即可。
zh_TW: 觸碰並拖曳以尋找畫面上的控制選項，然後點按兩下控制選項即可選取。若要在畫面上捲動，點按兩下，並在向上或向下滑動時按住。"	""
"accessibility.popup.message.xbl"	"We've detected that your account has ""Let games read to me"" enabled and have automatically enabled Minecraft's screen reader."	"Original Translation
zh_CN: 我们发现您的账户已经启用了“课程阅读模式”，并且自动启用了 Minecraft 的屏幕阅读器。
zh_TW: 我們已偵測到您的帳戶已啟用「讓遊戲讀給我聽」的功能，並已自動啟用 Minecraft 的螢幕閱讀器。"	""
"accessibility.popup.right_button_text"	"Leave On"	"Original Translation
zh_CN: 保持打开
zh_TW: 保持開啟"	""
"accessibility.popup.title"	"Turn Off Screen Reader?"	"Original Translation
zh_CN: 关闭屏幕阅读器？
zh_TW: 是否關閉螢幕閱讀器？"	""
"accessibility.saving.done"	"Done"	"Original Translation
zh_CN: 完成
zh_TW: 完成"	""
"accessibility.screen.tts.title"	"%s Screen"	"Original Translation
zh_CN: %s屏幕
zh_TW: %s畫面"	""
"accessibility.screenName.achievements"	"Achievements Screen"	"Original Translation
zh_CN: 成就界面
zh_TW: 成就畫面"	""
"accessibility.screenName.addExternalServer"	"Add External Server Screen"	"Original Translation
zh_CN: 添加外部服务器屏幕
zh_TW: 新增外部伺服器畫面"	""
"accessibility.screenName.chat"	"Chat Screen"	"Original Translation
zh_CN: 聊天屏幕
zh_TW: 聊天畫面"	""
"accessibility.screenName.chatSettings"	"Chat Settings Screen"	"Original Translation
zh_CN: 聊天设置屏幕
zh_TW: 聊天設定畫面"	""
"accessibility.screenName.createNew"	"Create New Screen"	"Original Translation
zh_CN: 创建新的屏幕
zh_TW: 建立新畫面"	""
"accessibility.screenName.createWorld"	"Create World Settings Screen"	"Original Translation
zh_CN: 创建世界设置屏幕
zh_TW: 建立世界設定畫面"	""
"accessibility.screenName.editCharacter"	"Character Creator"	"Original Translation
zh_CN: 角色创建器
zh_TW: 自訂角色"	""
"accessibility.screenName.editExternalServer"	"Edit External Server Screen"	"Original Translation
zh_CN: 编辑外部服务器屏幕
zh_TW: 編輯外部伺服器畫面"	""
"accessibility.screenName.editWorldSettings"	"Edit World Settings Screen"	"Original Translation
zh_CN: 编辑世界设置屏幕
zh_TW: 編輯世界設定畫面"	""
"accessibility.screenName.emoteWheel"	"Emotes Screen"	"Original Translation
zh_CN: 表情屏幕
zh_TW: 表情畫面"	""
"accessibility.screenName.encyclopedia"	"Encyclopedia Screen"	"Original Translation
zh_CN: 百科全书屏幕
zh_TW: 百科全書畫面"	""
"accessibility.screenName.error"	"Error Screen"	"Original Translation
zh_CN: 错误屏幕
zh_TW: 錯誤畫面"	""
"accessibility.screenName.howToPlay"	"How To Play Screen"	"Original Translation
zh_CN: 帮助屏幕
zh_TW: 遊戲說明畫面"	""
"accessibility.screenName.inviteToGame"	"Invite To Game Screen"	"Original Translation
zh_CN: 邀请至游戏屏幕
zh_TW: 邀請至遊戲畫面"	""
"accessibility.screenName.joinByConnectionID"	"Join by connection I D dialog"	"Original Translation
zh_CN: 通过连接 ID 对话框加入
zh_TW: 加入連線 ID 對話方塊"	""
"accessibility.screenName.joinByIP"	"Join by IP dialog"	"Original Translation
zh_CN: 通过 IP 对话框加入
zh_TW: 使用 IP 對話方塊加入"	""
"accessibility.screenName.joinCode"	"Join Code dialog"	"Original Translation
zh_CN: 加入代码对话框
zh_TW: 加入代碼對話方塊"	""
"accessibility.screenName.library"	"Library Screen"	"Original Translation
zh_CN: 库屏幕
zh_TW: 資料庫畫面"	""
"accessibility.screenName.modalDialog"	"Popup dialog"	"Original Translation
zh_CN: 弹出对话框
zh_TW: 彈出式對話"	""
"accessibility.screenName.myServers"	"My Servers Screen"	"Original Translation
zh_CN: 我的服务器界面
zh_TW: 我的伺服器畫面"	""
"accessibility.screenName.myTemplates"	"My Templates Screen"	"Original Translation
zh_CN: 我的模板屏幕
zh_TW: 我的範本畫面"	""
"accessibility.screenName.myWorlds"	"My Worlds Screen"	"Original Translation
zh_CN: 我的世界屏幕
zh_TW: 我的世界畫面"	""
"accessibility.screenName.patchNotes"	"Patch Notes Screen"	"Original Translation
zh_CN: 补丁说明屏幕
zh_TW: 修補說明畫面"	""
"accessibility.screenName.pause"	"Game menu"	"Original Translation
zh_CN: 游戏菜单
zh_TW: 遊戲目錄"	""
"accessibility.screenName.permissions"	"Permissions Screen"	"Original Translation
zh_CN: 权限屏幕
zh_TW: 權限畫面"	""
"accessibility.screenName.play"	"Play Screen"	"Original Translation
zh_CN: 课程屏幕
zh_TW: 遊戲畫面"	""
"accessibility.screenName.profile"	"Profile Screen"	"Original Translation
zh_CN: 个人资料屏幕
zh_TW: 設定檔畫面"	""
"accessibility.screenName.realmInviteLinkSettings"	"Realm Invite Link Settings Screen"	"Original Translation
zh_CN: Realm 邀请链接设置屏幕
zh_TW: Realm 邀請連結設定畫面"	""
"accessibility.screenName.realmSettings"	"Realm Settings Screen"	"Original Translation
zh_CN: Realm 设置屏幕
zh_TW: Realm 設定畫面"	""
"accessibility.screenName.settings"	"Game Settings Screen"	"Original Translation
zh_CN: 课程设置屏幕
zh_TW: 遊戲設定畫面"	""
"accessibility.screenName.skinPicker"	"Choose Skin Screen"	"Original Translation
zh_CN: 外观选择屏幕
zh_TW: 選擇外觀畫面"	""
"accessibility.screenName.start"	"Main Menu"	"Original Translation
zh_CN: 主菜单
zh_TW: 主選單"	""
"accessibility.scrollbar.tts.title"	"Scroll Bar"	"Original Translation
zh_CN: 滚动条
zh_TW: 捲軸"	""
"accessibility.search.sort_menu.A_to_Z.tts.title"	"'A' to 'Z'"	"Original Translation
zh_CN: 'A' 到 'Z'
zh_TW: A 到 Z"	""
"accessibility.search.sort_menu.Z_to_A.tts.title"	"'Z' to 'A'"	"Original Translation
zh_CN: 'Z' 到 'A'
zh_TW: Z 到 A"	""
"accessibility.sectionName"	"Section %s:"	"Original Translation
zh_CN: 第 %s 部分：
zh_TW: 段落 %s："	""
"accessibility.settings.chooseSeed"	"Choose Seed"	"Original Translation
zh_CN: 选择种子
zh_TW: 選擇種子"	""
"accessibility.settings.reset"	"reset"	"Original Translation
zh_CN: 重置
zh_TW: 重置"	""
"accessibility.signin.xbl"	"Signing into X box live"	"Original Translation
zh_CN: 正在登录至 Xbox Live
zh_TW: 正在登入 X box Live"	""
"accessibility.slider.tts.percentValue"	"%s percent"	"Original Translation
zh_CN: %s%
zh_TW: 百分之 %s"	""
"accessibility.slider.tts.title"	"Slider"	"Original Translation
zh_CN: 滑块
zh_TW: 滑桿"	""
"accessibility.start.buttonHelper"	"%s : %s"	"Original Translation
zh_CN: %s：%s
zh_TW: %s : %s"	""
"accessibility.start.feedback"	"Submit Feedback Link to Website"	"Original Translation
zh_CN: 提交反馈链接到网站
zh_TW: 提交「意見反饋連結」到「網站」"	""
"accessibility.start.new"	"New"	"Original Translation
zh_CN: 新
zh_TW: 新"	""
"accessibility.start.skinPicker"	"Choose Skin"	"Original Translation
zh_CN: 选择皮肤
zh_TW: 選擇外觀"	""
"accessibility.state.checked"	": checked"	"Original Translation
zh_CN: ：选中
zh_TW: ：已勾選"	""
"accessibility.state.off"	": off"	"Original Translation
zh_CN: ：关闭
zh_TW: ：關閉"	""
"accessibility.state.on"	": on"	"Original Translation
zh_CN: ：打开
zh_TW: ：開啟"	""
"accessibility.state.selected"	": selected"	"Original Translation
zh_CN: ：已选择
zh_TW: ：已選取"	""
"accessibility.state.unchecked"	": unchecked"	"Original Translation
zh_CN: ：取消选中
zh_TW: ：已取消勾選"	""
"accessibility.state.unselected"	": unselected"	"Original Translation
zh_CN: ：未选择
zh_TW: ：已取消選取"	""
"accessibility.store.offerDescription.share"	"Share"	"Original Translation
zh_CN: 分享
zh_TW: 分享"	""
"accessibility.store.tag"	"Tag"	"Original Translation
zh_CN: 标记
zh_TW: 標籤"	""
"accessibility.store.wishlist.button"	"Wish List"	"Original Translation
zh_CN: 愿望清单
zh_TW: 願望清單"	""
"accessibility.tab.tts.title"	"Tab"	"Original Translation
zh_CN: 标签
zh_TW: 標籤"	""
"accessibility.text.CurrencyExceptions"	"PLN"	"Original Translation
zh_CN: PLN
zh_TW: PLN"	""
"accessibility.text.PLN"	"Polish Zloty:Groszy:."	"Original Translation
zh_CN: Polish Zloty:Groszy:.
zh_TW: Polish Zloty:Groszy:."	""
"accessibility.text.ampersand"	"And"	"Original Translation
zh_CN: & 符号
zh_TW: & 符號"	""
"accessibility.text.apostrophe"	"Apostrophe"	"Original Translation
zh_CN: 撇号
zh_TW: 縮寫符號"	""
"accessibility.text.asterisk"	"Asterisk"	"Original Translation
zh_CN: 星号
zh_TW: 星號"	""
"accessibility.text.atSign"	"At"	"Original Translation
zh_CN: @ 符号
zh_TW: 小老鼠"	""
"accessibility.text.backwardSlash"	"Back Slash"	"Original Translation
zh_CN: 反斜杠
zh_TW: 反斜線"	""
"accessibility.text.caret"	"Caret"	"Original Translation
zh_CN: 脱字号
zh_TW: 連接號"	""
"accessibility.text.colon"	"Colon"	"Original Translation
zh_CN: 冒号
zh_TW: 冒號"	""
"accessibility.text.comma"	"Comma"	"Original Translation
zh_CN: 逗号
zh_TW: 逗號"	""
"accessibility.text.dollarSign"	"Dollar"	"Original Translation
zh_CN: 美元符号
zh_TW: 金錢符號"	""
"accessibility.text.equals"	"Equals"	"Original Translation
zh_CN: 等号
zh_TW: 等號"	""
"accessibility.text.exclamationPoint"	"Exclamation Point"	"Original Translation
zh_CN: 感叹号
zh_TW: 驚嘆號"	""
"accessibility.text.forwardSlash"	"Slash"	"Original Translation
zh_CN: 斜杠
zh_TW: 斜線"	""
"accessibility.text.graveAccent"	"Grave Accent"	"Original Translation
zh_CN: 重音符
zh_TW: 重音符"	""
"accessibility.text.greaterThan"	"Greater Than"	"Original Translation
zh_CN: 大于
zh_TW: 大於"	""
"accessibility.text.hashTag"	"Hash Tag"	"Original Translation
zh_CN: 井号
zh_TW: 井號"	""
"accessibility.text.hyphen"	"Hyphen"	"Original Translation
zh_CN: 连字符
zh_TW: 連字號"	""
"accessibility.text.leftBrace"	"Left Brace"	"Original Translation
zh_CN: 左花括号
zh_TW: 左大括弧"	""
"accessibility.text.leftBracket"	"Left Bracket"	"Original Translation
zh_CN: 左括号
zh_TW: 左括弧"	""
"accessibility.text.leftParenthesis"	"Left Parenthesis"	"Original Translation
zh_CN: 左圆括号
zh_TW: 左括號"	""
"accessibility.text.lessThan"	"Less Than"	"Original Translation
zh_CN: 小于
zh_TW: 小於"	""
"accessibility.text.percent"	"Percent"	"Original Translation
zh_CN: 百分号
zh_TW: 百分比符號"	""
"accessibility.text.period"	"Period"	"Original Translation
zh_CN: 句号
zh_TW: 句號"	""
"accessibility.text.period.url"	"Dot"	"Original Translation
zh_CN: 点
zh_TW: 點"	""
"accessibility.text.plus"	"Plus"	"Original Translation
zh_CN: 加号
zh_TW: 加號"	""
"accessibility.text.questionMark"	"Question Mark"	"Original Translation
zh_CN: 问号
zh_TW: 問號"	""
"accessibility.text.quotationMark"	"Quotation Mark"	"Original Translation
zh_CN: 引号
zh_TW: 引號"	""
"accessibility.text.rightBrace"	"Right Brace"	"Original Translation
zh_CN: 右花括号
zh_TW: 右大括弧"	""
"accessibility.text.rightBracket"	"Right Bracket"	"Original Translation
zh_CN: 右括号
zh_TW: 右括弧"	""
"accessibility.text.rightParenthesis"	"Right Parenthesis"	"Original Translation
zh_CN: 右圆括号
zh_TW: 右括號"	""
"accessibility.text.semiColon"	"Semi Colon"	"Original Translation
zh_CN: 分号
zh_TW: 分號"	""
"accessibility.text.space"	"Space"	"Original Translation
zh_CN: 空格
zh_TW: 太空"	""
